experiment,dataset,method,summed_mse_mean,summed_mse_std,summed_mse_count,max_coord_mse_mean,max_coord_mse_std,max_coord_mse_count,std_summed_mse_mean,std_summed_mse_std,std_summed_mse_count,avg_r2_mean,avg_r2_std,avg_r2_count,total_time_mean,total_time_std,total_time_count,afpc_time_mean,afpc_time_std,afpc_time_count,fit_time_mean,fit_time_std,fit_time_count,K_mean,K_std,K_count,summed_mse_se,max_coord_mse_se,std_summed_mse_se,avg_r2_se,total_time_se,afpc_time_se,fit_time_se,K_se
real_energy,Energy,SC-DCF-LS,13.708903445666412,1.1941012448649815,5,8.039021644251639,0.7960094687387776,5,0.14474009157105638,0.01273092496663961,5,0.9274005886333268,0.006176557902971985,5,0.006599960000016836,0.0017022960209977854,5,0.0011343400000214388,0.0005283598707412848,5,0.0015884200000073178,0.0005108611719534383,5,48,0.0,5,0.534018311107044,0.3559862565666801,0.005693442728371081,0.002762240667601782,0.0007612899241556915,0.000236289717512103,0.0002284640615106194,0.0
real_energy,Energy,kNN,17.597554818870485,1.8431585510187831,5,9.511728269625996,1.2286447022085483,5,0.1846751599885588,0.019997407117164072,5,0.907460710400005,0.009755723562866775,5,0.0027543799999875775,0.0005513094339601196,5,0.0,0.0,5,0.0027543799999875775,0.0005513094339601196,5,0,0.0,5,0.8242855626776027,0.5494666148666599,0.008943112337543392,0.00436289221125331,0.0002465530741943517,0.0,0.0002465530741943517,0.0
real_linnerud,Linnerud,Independent DCF-LS,1161.684087681328,808.5740190350341,5,1056.3692109619114,803.8403875233867,5,6.860744438394387,4.500602512807669,5,-3.8770815920239934,5.5999530588785955,5,0.0013122800000928692,0.0011290391344248216,5,0.00014942000002520216,8.955859532476439e-05,5,0.0008678600000393999,0.0007234422354442199,5,4,0.0,5,361.605294280509,359.48834991241324,2.012730631668863,2.5043751420920843,0.0005049216507662848,4.0051821423113603e-05,0.0003235332032495367,0.0
real_linnerud,Linnerud,MO-RF,760.3506666666667,341.77892123649997,5,677.8331527777777,365.8436213716269,5,4.899140093358738,3.491540265053593,5,-1.3200124093265306,1.0617439069809602,5,0.04010675999998057,0.005464520031361446,5,0.0,0.0,5,0.04010675999998057,0.005464520031361446,5,0,0.0,5,152.84818023227209,163.61024130433051,1.5614642757674935,0.4748263101411281,0.002443807650906695,0.0,0.002443807650906695,0.0
real_linnerud,Linnerud,MO-Ridge,819.4816241235187,605.039694364755,5,734.8487750912057,603.8206812847538,5,4.780528934454409,3.0333759984293813,5,-2.1074129918666085,3.3796887475843107,5,0.001174120000041512,0.0005107873011465375,5,0.0,0.0,5,0.001174120000041512,0.0005107873011465375,5,0,0.0,5,270.58197713705766,270.03681791458894,1.3565669867608783,1.5114427564779294,0.0002284310254814628,0.0,0.0002284310254814628,0.0
real_linnerud,Linnerud,PLS,884.052877879192,661.526233102479,5,791.5840721829169,657.4125084275606,5,5.009150294257727,2.912840722103139,5,-2.737823660678128,4.28844461941231,5,0.001286060000006728,0.00047348993967650843,5,0.0,0.0,5,0.001286060000006728,0.00047348993967650843,5,0,0.0,5,295.8435252233029,294.00381162053577,1.3026619724504387,1.9178507373498277,0.0002117511383557895,0.0,0.0002117511383557895,0.0
real_linnerud,Linnerud,SC-DCF-LS,1161.6840876813278,808.5740190350339,5,1056.3692109619112,803.8403875233865,5,6.860744438394387,4.500602512807671,5,-3.877081592023994,5.599953058878594,5,0.0006152400000701164,0.00020318632577492164,5,3.874000003634137e-05,8.0161087505521e-06,5,0.00044950000001335865,0.000206696105447172,5,4,0.0,5,361.60529428050893,359.4883499124132,2.012730631668864,2.5043751420920835,9.086768730622847e-05,3.5849128162530796e-06,9.243730849286822e-05,0.0
real_linnerud,Linnerud,kNN,834.6625,492.73268585210707,5,744.690625,501.32819456618654,5,5.332222184847663,4.086034775221523,5,-1.6222423064401954,1.8368499155371485,5,0.0011359999999967841,0.0002549279996693876,5,0.0,0.0,5,0.0011359999999967841,0.0002549279996693876,5,0,0.0,5,220.35675606027203,224.20078441744676,1.8273303031646797,0.8214642551211622,0.00011400726732575891,0.0,0.00011400726732575891,0.0
real_rf1,RF1,Independent DCF-LS,1773.0038435578704,1467.9482478665166,5,728.7342578395791,656.9048615808865,5,5.173767660421536,8.286552972590792,5,0.7393343676776725,0.15061878474183046,5,4.75067293999989,0.5263500698971766,5,1.8678976399999556,0.23770810483073626,5,0.13907899999999246,0.025032366539427964,5,80,0.0,5,656.4864139362483,293.7767850489904,3.7058591491731923,0.06735876827422821,0.2353909072503705,0.10630629624083447,0.01119481464397042,0.0
real_rf1,RF1,MO-RF,5.904621532757993,1.649009220524869,5,1.8648310075251142,0.7196466308014207,5,3.7166780255775684,7.735309051252479,5,0.8369522027708349,0.1855665954734082,5,13.05462177999998,1.6265775469117156,5,0.0,0.0,5,13.05462177999998,1.6265775469117156,5,0,0.0,5,0.7374593425235096,0.3218357572501341,3.4593353731139893,0.08298790436634909,0.7274275931138898,0.0,0.7274275931138898,0.0
real_rf1,RF1,MO-Ridge,2189.5656071983476,1429.6999800237963,5,795.6139823038677,544.9727941557059,5,8.403114574775156,12.864200914297234,5,-0.08884467348910663,1.2337713793605907,5,0.028703420000010738,0.005476805835299863,5,0.0,0.0,5,0.028703420000010738,0.005476805835299863,5,0,0.0,5,639.38126855266,243.71924272403166,5.753045544116712,0.5517593345887923,0.002449302029459602,0.0,0.002449302029459602,0.0
real_rf1,RF1,PLS,1500.5131020378822,286.15533610135407,5,540.2495135133638,122.4954164465651,5,5.077315073328193,8.689180260030287,5,0.7493487863641091,0.0686622327015503,5,0.08132516000005126,0.014180403354346692,5,0.0,0.0,5,0.08132516000005126,0.014180403354346692,5,0,0.0,5,127.97255672938546,54.78161562133306,3.885919546035404,0.030706683961515095,0.006341669169737048,0.0,0.006341669169737048,0.0
real_rf1,RF1,SC-DCF-LS,1773.003843586331,1467.9482478769955,5,728.7342578447413,656.9048615752987,5,5.173767660459015,8.2865529726604,5,0.739334367674108,0.15061878474534382,5,0.5743818399999554,0.09300403924478429,5,0.2565488800000139,0.0364325246384166,5,0.019413979999944785,0.005051256279105391,5,80,0.0,5,656.4864139409347,293.77678504649145,3.705859149204322,0.06735876827579942,0.04159267078667917,0.016293120336687093,0.002258990482370461,0.0
real_rf1,RF1,kNN,495.37702354425517,60.18034657545551,5,173.34315433496675,19.734358011114587,5,3.8713310944951744,7.887832876511629,5,0.9207914634286791,0.04545656776674089,5,0.25234878000001115,0.023858708755753463,5,0.0,0.0,5,0.25234878000001115,0.023858708755753463,5,0,0.0,5,26.913469170443037,8.825473201033953,3.527546101407541,0.020328795110051687,0.010669938926646833,0.0,0.010669938926646833,0.0
